Unnamed: 0,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
46628,33.0,Male,Los Angeles,16.0,37.04,169.0,1.0
92846,41.0,Male,Miami,8.0,85.82,84.0,0.0
30440,41.0,Female,Houston,14.0,77.7,397.0,1.0
79978,22.0,Male,Miami,12.0,68.29,180.0,1.0
85038,30.0,Male,Los Angeles,18.0,87.25,500.0,0.0
48616,56.0,Male,New York,2.0,52.36,416.0,0.0
77987,59.0,Female,Miami,5.0,76.85,330.0,0.0
61879,39.0,Male,New York,4.0,39.06,403.0,1.0
86215,25.0,Female,Miami,14.0,70.18,360.0,0.0
38620,64.0,Male,Miami,5.0,68.05,476.0,1.0
88627,36.0,Male,New York,24.0,81.02,93.0,0.0
38549,59.0,Male,Miami,14.0,57.28,383.0,0.0
92503,69.0,Male,Houston,5.0,75.37,267.0,0.0
69480,66.0,Female,Los Angeles,22.0,50.25,51.0,1.0
91160,52.0,Female,New York,10.0,58.03,303.0,1.0
42671,29.0,Female,Los Angeles,7.0,79.95,436.0,1.0
30546,31.0,Male,Miami,2.0,59.69,174.0,0.0
24363,34.0,Male,New York,20.0,34.66,181.0,1.0
87262,63.0,Female,New York,3.0,52.62,355.0,1.0
59604,37.0,Male,New York,5.0,96.41,388.0,1.0
9951,66.0,Male,Chicago,8.0,47.26,126.0,0.0
2166,70.0,Female,Miami,12.0,46.41,277.0,1.0
84426,30.0,Female,Miami,1.0,93.8,279.0,0.0
88703,50.0,Female,Chicago,7.0,50.42,439.0,0.0
95547,22.0,Female,New York,24.0,85.36,53.0,1.0
4645,55.0,Female,New York,21.0,97.83,280.0,0.0
17654,44.0,Female,New York,7.0,49.43,404.0,0.0
93285,35.0,Male,New York,22.0,60.25,406.0,0.0
89070,60.0,Male,Los Angeles,16.0,81.51,97.0,1.0
76008,27.0,Female,New York,21.0,43.56,266.0,0.0
91799,36.0,Male,Chicago,5.0,84.52,497.0,1.0
15963,19.0,Female,Miami,9.0,87.35,451.0,0.0
43257,25.0,Female,Houston,2.0,47.69,383.0,0.0
86363,24.0,Male,New York,17.0,60.44,112.0,1.0
40719,40.0,Male,Houston,13.0,65.51,242.0,1.0
54824,53.0,Female,Houston,21.0,52.24,167.0,0.0
93494,35.0,Male,Chicago,9.0,91.03,338.0,1.0
66134,54.0,Male,New York,3.0,56.19,473.0,1.0
73599,39.0,Female,Houston,1.0,83.81,322.0,0.0
9607,60.0,Female,Houston,19.0,58.47,243.0,0.0
69628,53.0,Female,Chicago,13.0,66.72,405.0,1.0
80595,58.0,Female,New York,12.0,30.86,314.0,1.0
92429,59.0,Male,Chicago,14.0,56.73,303.0,1.0
97217,66.0,Male,Houston,23.0,41.66,354.0,1.0
55027,68.0,Male,New York,1.0,63.15,141.0,1.0
24608,22.0,Female,New York,23.0,94.09,474.0,0.0
7010,36.0,Female,Houston,20.0,47.04,241.0,1.0
12019,50.0,Male,Houston,16.0,36.35,270.0,1.0
94924,61.0,Female,Miami,13.0,83.97,391.0,1.0
13105,62.0,Female,Miami,14.0,95.13,365.0,0.0
24344,53.0,Male,Los Angeles,15.0,69.01,106.0,1.0
35394,34.0,Male,Chicago,1.0,54.88,332.0,0.0
88135,67.0,Female,Los Angeles,2.0,65.28,354.0,0.0
44577,63.0,Female,New York,17.0,83.89,318.0,0.0
87777,60.0,Female,New York,12.0,40.4,95.0,1.0
54766,43.0,Female,New York,15.0,52.3,200.0,0.0
66110,25.0,Male,Houston,15.0,94.56,164.0,0.0
8862,38.0,Female,Miami,2.0,64.74,150.0,1.0
69214,56.0,Female,Chicago,2.0,97.43,99.0,0.0
81315,57.0,Female,Houston,3.0,64.74,235.0,1.0
66528,50.0,Male,Los Angeles,23.0,92.91,292.0,1.0
87857,33.0,Male,Houston,19.0,73.33,431.0,0.0
47817,34.0,Female,Houston,16.0,38.4,349.0,0.0
85490,56.0,Female,Los Angeles,23.0,68.13,402.0,1.0
54345,65.0,Female,Miami,22.0,89.74,484.0,0.0
73249,60.0,Female,Chicago,18.0,31.73,429.0,0.0
63645,21.0,Female,Houston,4.0,46.33,281.0,0.0
34564,46.0,Male,Miami,9.0,78.31,336.0,1.0
